CAMPAIGN_ID	PORTFOLIO_ID	TYPE	TARGETING_TYPE	BIDDING_STRATEGY	STATE	NAME	BRAND
437113058450766	242621113194999	sp	MANUAL	MANUAL	PAUSED	Sisu-Tether_Mouth_Guard-All-NB-SP-Broad	Sisu
409280194398557	269707755529920	sp	MANUAL	MANUAL	PAUSED	Stokke-TrippTrapp_Cushion-Branded-SP-Manual-Broad	Stokke
544276308974818	257337900600802	sp	MANUAL	AUTO_FOR_SALES	PAUSED	De'Longhi-PAC-B09TPXV1CL-B0C6YLQKGR-NB-SP-Manual-Phrase	De'Longhi
296472521374352	242621113194999	sp	MANUAL	LEGACY_FOR_SALES	ENABLED	Sisu-Aero_Mouth_Guard-All-NB-CNQ-SP-CAT	Sisu
543748871548806	210981953200014	sp	MANUAL	AUTO_FOR_SALES	PAUSED	TenPoint-WR-Invader400-B083W521PN-Crossbows-NB-SP-CAT-Brands-CNQ	TenPoint
365128933174759	242621113194999	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Sisu-Max_Mouth_Guard-All-NB-CNQ-SP-CAT	Sisu
377014119195747	141140219477134	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Sova-Aero_Night_Guard-All-NB-CNQ-SP-CAT	Sova
461126098346053	210981953200014	sd			paused	TenPoint-WR-Invader400-B083W521PN-Crossbows-NB-SD-Manual-Contextual-Brands	TenPoint
397402559774549	269707755529920	sbv			PAUSED	Stokke-Clikk_White-Branded-SBV-Manual-Exact	Stokke
481566506647809	269707755529920	sbv			PAUSED	Stokke-TrippTrapp_All-Branded-SBV-Manual-Exact	Stokke
297640430449439	269707755529920	sbv			PAUSED	Stokke-TrippTrapp_DisneyCollection-Branded-SBV-Manual-Exact	Stokke
408214500253216	51645416891488	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Triangle-B00GHEPOAO-Professional-Confiserie_Spatula-NB-SP-Manual-Phrase	Triangle GmbH
488116382767371	51645416891488	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Triangle-B005GB8M12-Professional-Pizza_Cutter-NB-SP-Manual-Phrase	Triangle GmbH
499181450168308	51645416891488	sp	MANUAL	MANUAL	PAUSED	Triangle-Professional-All_Products-Branded-SP-Manual-CatAsin	Triangle GmbH
361132685715492	51645416891488	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Triangle-B07QMY1L97-Professional-FinalTouch_Tasting_Spoon-NB-SP-Manual-Phrase	Triangle GmbH
503249773672675	51645416891488	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Triangle-B001UJYPUG-Professional-Fishbone_Tweezers-NB-SP-Manual-Phrase	Triangle GmbH
426495626737875	51645416891488	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Triangle-Professional-All_Products-NB-SP-Manual-Auto	Triangle GmbH
499485169580160	204017048144295	sp	MANUAL	AUTO_FOR_SALES	PAUSED	TerryNaturally-AnimalHealth_Bladder-Branded-SP-Manual-Broad	Terry Naturally
463781912623348	204017048144295	sp	AUTO	AUTO_FOR_SALES	PAUSED	TerryNaturally-AnimalHealth_Bladder-NB-SP-Auto	Terry Naturally
508749661976121	204017048144295	sp	MANUAL	AUTO_FOR_SALES	PAUSED	TerryNaturally-AnimalHealth_Bladder-NB-SP-Manual-Broad	Terry Naturally
314208526887251	252032103354833	sb			PAUSED	Musclepharm-Creatine_Essentials_60_Servings_Unflavored-B0056XU7K4-NB-SB-Phrase-NEW	Musclepharm
406968506091368	269707755529920	sp	MANUAL	MANUAL	PAUSED	Stokke-TrippTrapp_DisneyCollection-Branded-SP-Manual-Broad	Stokke
487031194172194	206541014295190	sp	MANUAL	AUTO_FOR_SALES	PAUSED	Phase1-StimmedUp-NB-SP-Manual-Broad	PHASE1 Nutrition
471991544618053	204017048144295	sp	AUTO	AUTO_FOR_SALES	PAUSED	TerryNaturally-Canine_Hip-NB-SP-Auto	Terry Naturally
308481246926466	141140219477134	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Sova-Max_Night_Guard-All-NB-CNQ-SP-CAT	Sova
368368896301630	206541014295190	sp	MANUAL	AUTO_FOR_SALES	PAUSED	Phase1-Prephase-Variated-NB-SP-Manual-Broad	PHASE1 Nutrition
428358737674393	141140219477134	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Sova-Junior_Night_Guard-All-NB-CNQ-SP-CAT	Sova
409556731932813	141140219477134	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Sova-3D_Night_Guard-All-NB-CNQ-SP-CAT	Sova
352707711278724	206541014295190	sp	MANUAL	AUTO_FOR_SALES	PAUSED	Phase1-Prephase-Variated-NB-SP-Manual-Exact	PHASE1 Nutrition
428444607519270	206541014295190	sp	MANUAL	AUTO_FOR_SALES	PAUSED	Phase1-StimmedUp-NB-SP-Manual-Exact	PHASE1 Nutrition
347423387585175	206541014295190	sp	MANUAL	AUTO_FOR_SALES	PAUSED	Phase1-Prephase-Variated-Branded-SP-Manual-CAT	PHASE1 Nutrition
510919905392154	141140219477134	sp	MANUAL	MANUAL	PAUSED	Sova-All-Branded-SP-CAT-ASIN	Sova
411472152065254	206541014295190	sp	MANUAL	AUTO_FOR_SALES	PAUSED	Phase1-StimmedUp-NB-SP-Manual-CAT	PHASE1 Nutrition
